步骤,测试步骤描述,前置条件,预期结果
1,进入团购编辑页,用户已登录并拥有编辑权限,团购编辑页正常打开，页面元素加载完成
2,填写团购名称为“测”,团购编辑页已打开,团购名称输入框显示“测”
3,选择团购分类为“163”,团购编辑页已打开,团购分类选择框显示“163”
4,填写库存为“10”,团购编辑页已打开,库存输入框显示“10”
5,填写限购数量为“12”,团购编辑页已打开,限购输入框显示“12”
6,填写最低购买数量为“1”,团购编辑页已打开,最低购买数量输入框显示“1”
7,填写价格为“1”,团购编辑页已打开,价格输入框显示“1”
8,上传团购图片,团购编辑页已打开,图片上传成功，页面显示上传图片预览
9,保存团购信息,所有必填字段已正确填写,保存成功提示，保存后再次进入编辑页时填写内容正确回显
10,修改最低购买数量为“1”后保存,团购编辑页已打开，最低购买数量已填写为“1”,保存成功提示，最低购买数量回显为“1”
11,必填字段“团购名称”为空时保存,团购编辑页已打开，团购名称为空,保存失败，提示“不能为空/请填写”，页面停留在编辑页
12,库存填写为0时保存,团购编辑页已打开，库存填写为“0”,保存失败，提示“需大于0/请输入大于0的整数”，页面停留在编辑页
13,限购填写为负数时保存,团购编辑页已打开，限购填写为“-1”,保存失败，提示“需大于0/请输入大于0的整数”，页面停留在编辑页
