步骤,测试步骤描述,前置条件,预期结果
1,进入身份认证页面，输入手机号并获取验证码,用户已登录并进入身份认证页面,手机号输入框显示最终输入的手机号，点击获取验证码按钮后提示验证码已发送
2,输入验证码并提交身份认证,用户已收到验证码,验证码输入框显示最终输入的验证码，提交后身份认证成功，页面跳转或提示认证成功
3,进入密码修改页面，输入新密码并提交,用户已通过身份认证并进入密码修改页面,密码输入框显示最终输入的新密码，提交后密码修改成功，页面跳转或提示成功
4,进入反馈页面，输入反馈内容并上传图片，提交反馈,用户已登录并进入反馈页面,反馈内容输入框显示最终输入的反馈内容，上传图片成功，提交后反馈保存成功，页面提示提交成功
5,反馈内容必填校验：反馈内容为空时提交,用户进入反馈页面，反馈内容为空,提交失败，页面提示“不能为空/请填写”
6,手机号必填校验：手机号为空时提交身份认证,用户进入身份认证页面，手机号为空,提交失败，页面提示“不能为空/请填写手机号”
7,手机号格式校验：输入非数字或格式错误的手机号提交身份认证,用户进入身份认证页面，手机号格式错误,提交失败，页面提示“请输入正确的手机号”
8,验证码必填校验：验证码为空时提交身份认证,用户进入身份认证页面，验证码为空,提交失败，页面提示“不能为空/请填写验证码”
9,密码必填校验：密码为空时提交密码修改,用户进入密码修改页面，密码为空,提交失败，页面提示“不能为空/请填写密码”
10,密码格式校验：输入长度不足或格式错误的密码提交密码修改,用户进入密码修改页面，密码格式不符合要求,提交失败，页面提示“密码格式不正确”
